# ไฟล์คำศัพท์ภาษาญี่ปุ่น
# รูปแบบ: คำถาม|การอ่าน|ความหมาย
# บรรทัดขึ้นต้น # คือ comment จะถูกข้าม

[JLPT N3 Vocabulary]
ＩＯＣ：国際オリンピック委員会|アイオーシー：こくさいオリンピックいいんかい|คณะกรรมการโอลิมปิกสากล
副作用|ふくさよう|ผลข้างเคียงจากการใช้ยา
復習（する）|ふくしゅう（する）|การทบทวน
不景気|ふけいき|เศรษฐกิจไม่ดี, ไม่แจ่มใส
不健康な|ふけんこうな|สุขภาพไม่ดี, สุขภาพไม่แข็งแรง
富士登山|ふじとざん|การปีนภูเขาฟูจิ
無事に|ぶじに|อย่างปลอดภัย (จากโรค, อุบัติเหตุ)
不足（する）|ふそく（する）|ความไม่เพียงพอ
ふた||ฝา
舞台|ぶたい|เวที
双子|ふたご|ฝาแฝด
ふだん||เสมอ, ปกติ
負担（する）|ふたん（する）|การแบกรับภาระหน้าที่
ふっとうする||การเดือดพลุ่งพล่าน
物理|ぶつり|ฟิสิกส์
不動産屋|ふどうさんや|บริษัทนายหน้าจัดหาห้องเช่า
太る|ふとる|อ้วน
不便をかける|ふべんをかける|ทำให้ไม่สะดวก, เป็นเหตุให้ไม่สะดวก
不満|ふまん|ไม่พอใจ
不要な|ふような|ไม่จำเป็น
プライベート||เป็นส่วนตัว
プラグ||ปลั๊ก (ไฟ)
フラッシュ||แฟลช (ถ่ายภาพ), ฉากสั้นๆ ในละคร, ข่าวด่วน
プラモデル||แบบจำลองพลาสติก
プラン||แผนการ, ร่าง
フリーズする||แช่แข็ง
振り込み|ふりこみ|การโอนเงินเข้าบัญชี
ふる||สั้น, โรย, แบ่งสรรหน้าที่
フルーツ||ผลไม้
ふるさと||บ้านเกิด
プレゼン（＝プレゼンテーション）|プレゼン|การรายงาน, การแสดง
プレゼンテーション||การรายงาน, การแสดง
プロ（＝プロフェッショナル）|プロ|มืออาชีพ
プロジェクター||เครื่องฉายภาพสไลด์
プロジェクト||โครงการ
文章|ぶんしょう|ข้อความ, บทความ
分野|ぶんや|สาขา, ขอบเขต, อาณาบริเวณ
平気な|へいきな|ไม่ใส่ใจ, ไม่ทุกข์ร้อน, สงบ
平均|へいきん|การหาค่าเฉลี่ย, การทำให้สมดุล
平日|へいじつ|วันธรรมดา
平和，平和な|へいわ，へいわな|สันติภาพ, สงบสุข
ペット||สัตว์เลี้ยง
ヘッドホン||หูฟัง
ベランダ||ระเบียง
減る|へる|ลดลง, น้อยลง
ベル||กริ่ง, ออด
変換（する）|へんかん（する）|การเปลี่ยนเป็นอีกสิ่งหนึ่ง, การสับเปลี่ยน
変換ミス|へんかんミス|ความผิดพลาดในการพิมพ์ (เพราะเลือกอักษรคันจิผิด)
返却（する）|へんきゃく（する）|การคืนของที่ยืมไป
変更（する）|へんこう（する）|การเปลี่ยนแปลง, การแก้ไข (วันเวลาหรือรายละเอียด)
弁護士|べんごし|ทนายความ
～歩：歩くときの足を前に出す回数を表す|～ほ|...ก้าว : แสดงจำนวนครั้งที่ก้าวเท้าเดินไปข้างหน้า
報告（する）|ほうこく（する）|การรายงาน (ผลการทำงาน, ความคืบหน้า)
報告書|ほうこくしょ|หนังสือรายงาน
方針|ほうしん|นโยบาย, เข็มของเข็มทิศ, วิถีทาง
放置（する）|ほうち（する）|การปล่อยทิ้งไว้
方法|ほうほう|วิธีการ, หนทาง
ボウリング||โบว์ลิ่ง
ボウル||ชาม
ホームステイ||การที่ชาวต่างชาติพักอาศัยอยู่กับครอบครัวของคนในท้องถิ่น เพื่อเรียนรู้และหาประสบการณ์, โฮมสเตย์
ホームページ||เว็บเพจหน้าหลักซึ่งเป็นหน้าแรกของเว็บไซต์, โฮมเพจ
保険|ほけん|การประกันภัย
保険証（＝健康保険証）|ほけんしょう|บัตรประกันสุขภาพ
保護（する）|ほご（する）|การปกป้อง, การคุ้มครอง, การอนุรักษ์
ほこり||ฝุ่น
星占い|ほしうらない|การทำนาย
募集（する）|ぼしゅう（する）|การรับสมัคร, การประกาศรับ (คน, เงินบริจาค)
保障（する）|ほしょう（する）|การรับประกัน (ความปลอดภัย, ความมั่นคง)
保存（する）|ほぞん（する）|การเก็บรักษาให้อยู่ในสภาพเดิม, การสงวนรักษา
骨|ほね|กระดูก, ก้าง
本～：この、私たちのという意味を表す|ほん～|...นี้, ...ของเรา : แสดงความหมายเรียกสิ่งที่กล่าวถึงนี้, ของเรา
本日：「今日」のていねいな言い方|ほんじつ|วันนี้ : รูปสุภาพของ 今日
本棚|ほんだな|ชั้นหนังสือ, ทั้งหนังสือ
マイク||เครื่องขยายเสียง, ไมโครโฟน
迷子|まいご|เด็กที่พลัดหลงหรือหลงทาง
孫|まご|หลาน (ลูกของลูก)
誠に：「本当に」のていねいな言い方|まことに|อย่างจริงใจ, อย่างแท้จริง : รูปสุภาพของ 本当に
マスク||ผ้าคาดปิดปากและจมูกเพื่อกันฝุ่นหรือเชื้อโรค, หน้ากากของคนรับลูก (เบสบอล)
まだまだです：ほめられて、謙遜するときに使う|まだまだです|ยังไม่ถึงขั้นนั้น, ยังต้องเรียนรู้อีกมาก : ใช้ถ่อมตัวเมื่อได้รับคำชม
待ち合わせ|まちあわせ|การนัดพบ, การนัดหมาย
間違い|まちがい|ที่ผิด, ข้อผิดพลาด, ความผิดพลาด, เรื่องไม่ดี
間違い電話|まちがいでんわ|การโทรผิด
末日|まつじつ|วันสุดท้าย
（話が）まとまる|（はなしが）まとまる|รวบรวม (เรื่องราว) ให้เป็นหนึ่งเดียวกัน
（結果／データを）まとめる|（けっか／データを）まとめる|สรุป (ผล/ข้อมูล)
真夏|まなつ|กลางฤดูร้อน
真似（する）|まね（する）|การเลียนแบบ, การเอาอย่าง
真冬|まふゆ|กลางฤดูหนาว
守る|まもる|ปกป้อง, คุ้มครอง, รักษา, ทำตาม (กฎ)
満開|まんかい|บานสะพรั่ง, บานเต็มที่
漫画家|まんがか|นักวาดการ์ตูน
マンション||แมนชั่น
満足（する）|まんぞく（する）|ความพอใจ
真ん中|まんなか|ตรงกลาง, ใจกลาง
見上げる|みあげる|แหงนมอง, เงยหน้าดู, น่าชื่นชมยกย่อง
見合わせる|みあわせる|มองหรือจ้องหน้ากัน, เอามาดูเทียบกัน, เลื่อนออกไปก่อน
味方|みかた|มิตร, ฝ่ายเดียวกัน
見ごろ|みごろ|ช่วงเวลาที่เหมาะแก่การชม (ดอกไม้) มากที่สุด
ミス（する）||ความผิดพลาด
水不足|みずぶそく|การขาดแคลน้ำ
乱れる|みだれる|ยุ่งเหยิง, ไม่เป็นระเบียบ, ปั่นป่วน
湊|みなと|ท่าเรือ
身分|みぶん|สถานภาพ, ยศศักดิ์, ตำแหน่ง, ฐานะ
身分証明書|みぶんしょうめいしょ|หลักฐานยืนยันตัวตน
ミリオンセラー||สินค้าที่ทำยอดขายได้ไม่ต่ำกว่าหนึ่งล้านเล่ม/ฉบับ
無～：あるものがまったくないことを表す|む～|ไม่... : แสดงเรื่องที่บางสิ่งไม่...โดยสิ้นเชิง
向かう|むかう|หันหน้าไปทาง, มุ่งหน้า, เผชิญหน้า
無視（する）|むし（する）|ไม่สนใจ, ไม่เห็นความสำคัญ, มองข้าม, เมิน
娘|むすめ|ลูกสาว (ของตน)
無駄，無駄な|むだ，むだな|สูญเปล่า, เปล่าประโยชน์
夢中な|むちゅうな|หมกมุ่น, จิตใจจดจ่ออยู่กับ
（とりの）むね肉|（とりの）むねにく|เนื้อส่วนนอก (ของไก่)
無料|むりょう|ฟรี, ไม่คิดค่าบริการ
名刺|めいし|นามบัตร
名所|めいしょ|สถานที่ที่มีชื่อเสียง
迷惑，迷惑な|めいわく，めいわくな|ความเดือดร้อน, การรบกวนให้เดือดร้อน
迷惑メール|めいわくメール|จดหมายขยะ, สแปมเมล
迷惑をかける|めいわくをかける|รบกวนหรือทำให้เดือดร้อน
目上|めうえ|ผู้ที่อาวุโสกว่า
目が覚める|めがさめる|สืมตาขึ้น, ตื่น
目が回る|めがまわる|ตาลาย
目薬|めぐすり|ยาหยอดตา, ยารักษาตา
恵まれる|めぐまれる|พรั่งพร้อม, มีอยู่หรือได้รับ (สิ่งดีๆ ที่ถือว่าเป็นโชคหรือวาสนา)
目指す|めざす|มุ่งสู่, ถือเป็นเป้าหมาย
目覚まし時計|めざましどけい|นาฬิกาปลุก
メダル||เหรียญรางวัล
目の前|めのまえ|ต่อหน้า, ตรงหน้า
メモ（する）||การบันทึกหรือจดไว้กันลืม
メリット||ข้อดี, ข้อได้เปรียบ, ประโยชน์
～面：あるものの側面を言うときに使う|～めん|ด้าน... : ใช้เวลากล่าวถึงทางด้านของสิ่งใดสิ่งหนึ่ง
めん||อาหารจำพวกบะหมี่หรือก๋วยเตี๋ยว
燃える|もえる|ไหม้, ลุกเป็นไฟ, ติดไฟ
モーツァルト（1756-1791）：オーストリアの作曲家、演奏家|モーツァルト|โมซาร์ท (1756-1791) : นักประพันธ์เพลงและนักดนตรีชาวออสเตรีย
目的|もくてき|จุดมุ่งหมาย, จุดประสงค์
文字|もじ|ตัวอักษร
持ち込み|もちこみ|การนำเข้าไปด้วย, การหยิบยกขึ้นมาขอให้พิจารณา
持ち物|もちもの|ของที่มี, ของที่พกติดตัว
モデル||รุ่น, แบบ, ตัวอย่าง, นางแบบ
戻す|もどす|คืนที่เดิม, เอากลับไปที่เดิม, ทำให้คืนสภาพเดิม
元の|もとの|แรกเริ่ม, ดั้งเดิม, ต้นตอ
戻る|もどる|วกกลับ, ย้อนกลับ, กลับ (ที่เดิม), กลับคืนมา
（とりの）もも肉|（とりの）ももにく|เนื้อน่อง (ของไก่)
催し|もよおし|การชุมนุมสังสรรค์
森|もり|ป่า
文句|もんく|คำพูดบ่นแสดงความไม่พอใจ, คำวลี, สำนวน
役|やく|บท (ของตัวละคร), บทบาท, หน้าที่
訳す|やくす|แปล
やせる||ผอมลง, ซูบ
家賃|やちん|ค่าเช่าบ้าน, ค่าเช่าห้อง
薬局|やっきょく|ร้านขายยา, ห้องจัดหรือประกอบยาในโรงพยาบาล
やっぱり（＝やはり）||กะแล้ว, ว่าแล้วเชียว, อย่างที่คิด
やはり||กะแล้ว, ว่าแล้วเชียว, อย่างที่คิด
山崩れ|やまくずれ|ดินบนเขาถล่มลงมา
山ほど|やまほど|(มี) มากมายราวกับภูเขา, เป็นกอง, เป็นภูเขาเลากา
（雨が）やむ|（あめが）やむ|(ฝน) หยุดตก
やる気が出る|やるきがでる|มีแรงจูงใจ, มีใจอยากทำ
有給休暇|ゆうきゅうきゅうか|วันหยุดที่มีสิทธิ์ลาได้โดยไม่ถูกหักเงินเดือน
優秀な|ゆうしゅうな|เป็นเลิศ, ยอดเยี่ยม
優勝（する）|ゆうしょう（する）|การชนะเลิศ
友人|ゆうじん|เพื่อน
優先（する）|ゆうせん（する）|การให้สิทธิก่อน, การมีความสำคัญมากกว่า
ゆうべ||เมื่อคืนนี้
浴衣|ゆかた|ยูกาตะ (ชุดกิโมโนผ้าฝ้ายใช้หลังอาบน้ำหรือในฤดูร้อน)
雪道|ゆきみち|ถนนที่หิมะตกทับถมกันอยู่
ゆっくりする||ค่อยๆ ทำ, ทำอย่างสบายๆ ไม่เร่งรีบ
ゆでたまご||ไข่ต้ม
ユニフォーム||เครื่องแบบ
許す|ゆるす|ยกโทษ, ให้อภัย, อนุญาต, ยินยอม
要求（する）|ようきゅう（する）|การเรียกร้อง, ความต้องการ
用件|ようけん|ธุระ (ที่จะคุย, ที่มาหา)
様子|ようす|สภาพ, ท่าทาง, สภาพเหตุการณ์
ヨーグルト||โยเกิร์ต
翌日|よくじつ|วันต่อมา, วันรุ่งขึ้น
余計な|よけいな|เกินความจำเป็น, เกินควร, เกินปกติ
汚れる|よごれる|เลอะเปรอะเปื้อน, ต่างพร้อย, สกปรก
予算|よさん|งบประมาณ
夜中|よなか|กลางดึก
世の中|よのなか|(เรื่องราวความเป็นไป) ในโลก/สังคม
呼び出し|よびだし|การเรียกตัว, การเรียกออกมา
呼び出す|よびだす|เรียกตัว, เรียกออกมา
予約制|よやくせい|ระบบจองหรือนัดหมายล่วงหน้า
弱気な|よわきな|ความไม่กล้า, ความขลาด, ใจไม่สู้
来店（する）|らいてん（する）|การแวะมาจับจ่ายซื้อของที่ห้างร้าน
来日（する）|らいにち（する）|การมาประเทศญี่ปุ่น
ライバル||คู่แข่ง
落語|らくご|ราคุโกะ (การแสดงเล่าเรื่องตลกโดยคนคนเดียว)
ランチタイム||เวลาอาหารกลางวัน
ランニング||การวิ่ง, เสื้อของนักวิ่ง
ランニングマシン||เครื่องออกกำลังกายแบบมีสายพานวิ่ง, ลู่วิ่ง
理解（する）|りかい（する）|ความเข้าใจ
理解ある|りかいある|การรับรู้, ความเข้าใจ
理科系|りかけい|สายวิทยาศาสตร์
理想|りそう|อุดมคติ
リットル||ลิตร
立派な|りっぱな|โอ่อ่า, สง่างาม, น่ายกย่อง, น่าภาคภูมิ
流行（する）|りゅうこう（する）|ฮิต, เป็นที่นิยม (ในระยะหนึ่ง), การระบาด (ในระยะหนึ่ง) ของโรค
流行色|りゅうこうしょく|สีที่เป็นที่นิยม
利用者|りようしゃ|ผู้ใช้
料理屋|りょうりや|ร้านอาหาร
理論|りろん|ทฤษฎี
留守|るす|การไม่อยู่ (บ้าน)
留守にする|るすにする|ไม่อยู่ (บ้าน)
冷凍庫|れいとうこ|ตู้เย็น
例年|れいねん|ประจำปี, รายปี
レシピ||ตำราอาหาร, สูตรอาหาร
連続（する）|れんぞく（する）|ต่อเนื่องกัน, ติดต่อกันไม่เว้น
レンタル||ให้เช่า
録画（する）|ろくが（する）|การบันทึกภาพ (ใส่เทปหรือฟิล์ม)
ロレックス：Rolex　スイスの時計メーカー|ロレックス|โรเล็กซ์ : ผู้ผลิตนาฬิกาของประเทศสวิตเซอร์แลนด์
論文|ろんぶん|สารานิพนธ์, วิทยานิพนธ์, บทความทางวิชาการที่เสนอผลงานวิจัยต่างๆ
ワイワイ||อ้ออึง, เอะอะโวยวาย
若い|わかい|หนุ่มสาว, อายุน้อย
和菓子|わがし|ขนมญี่ปุ่น
わが社|わがしゃ|บริษัทของเรา
若者|わかもの|คนหนุ่มสาว
わけ（＝理由）|わけ|เหตุผล
わざわざ||อุตส่าห์ (ทั้งที่ไม่ต้องทำก็ได้)
渡り鳥|わたりどり|นกอพยพ, นกที่ย้ายถิ่นที่อยู่ตามการเปลี่ยนแปลงของฤดูกาล
わびる||ขอโทษ, ขออภัย
悪口|わるくち|การนินทาว่าร้าย
われわれ：「私たち」のかたい言い方|われわれ|พวกเรา, ผองเรา : ภาษาทางการของ 私たち
ワンシーン||ฉากเดียว, ฉากหนึ่ง
ワンちゃん：ほかの人が飼っている犬を呼ぶときの言い方|ワンちゃん|สุนัข : คำเรียกสุนัขที่ผู้อื่นเลี้ยง
１ＤＫ|ワンディーケー|อพาร์ตเมนต์หรือคอนโดมิเนียมที่ห้องหนึ่งๆ มี 1 ห้องนอนและห้องรับประทานอาหารกับครัว
ワンルーム||อพาร์ตเมนต์ที่มีห้องเดียว
